名称,種別,ＴＥＬ,住所,緯度,経度
片柳のぞみ,（民設）放課後児童クラブ,686-9441,見沼区東新井244-1 片柳小学校内,35.9105745,139.6699025
片柳ひかり,（民設）放課後児童クラブ,686-1702,見沼区東新井244-1 片柳小学校内,35.91078807,139.6702188
春岡・春野小学童保育の会,（民設）放課後児童クラブ,686-1761,見沼区春岡2-35-15 ベルハイツ深作Ⅱ,35.9477689,139.6626638
春岡・春野小第二学童保育の会,（民設）放課後児童クラブ,607-9006,見沼区春岡2-27-18 カーサ・ディ・オンブレロ104,35.9482976,139.660783
春岡・春野小第三学童保育の会,（民設）放課後児童クラブ,716-1478,見沼区春岡2-32-14,35.948446,139.662071
のびる学童ひばり,（民設）放課後児童クラブ,677-4986,見沼区深作3-26-4,35.955631,139.6615328
のびる学童つぐみ,（民設）放課後児童クラブ,627-3062,見沼区深作3-31-6,35.9551564,139.6640307
大谷第一学童保育所,（民設）放課後児童クラブ,685-4957,見沼区蓮沼1726　ＡＭＩＲＹＵ1号室 ,35.9217565,139.6643649
大谷第二学童保育所,（民設）放課後児童クラブ,688-3233,見沼区蓮沼1726　ＡＭＩＲＹＵ2号室,35.921653,139.664341
見沼小学童保育の会どろんこクラブ（第1）,（民設）放課後児童クラブ,729-4324,見沼区東大宮2-43-6,35.94790709,139.633345
見沼小学童保育の会どろんこクラブ（第2）,（民設）放課後児童クラブ,729-8199,見沼区東大宮2-43-6,35.94790709,139.633345
見沼小学童保育の会どろんこクラブ（第3）,（民設）放課後児童クラブ,653-5999,見沼区東大宮2-43-6,35.947816,139.633441
蓮沼小学童保育の会つばさクラブ,（民設）放課後児童クラブ,685-5480,見沼区蓮沼1025-3,35.9344102,139.656264
蓮沼小学童保育の会なないろクラブ,（民設）放課後児童クラブ,685-5480,見沼区蓮沼1025-3,35.9344102,139.656264
蓮沼小学童保育の会あおぞらクラブ,（民設）放課後児童クラブ,687-7840,見沼区風渡野373-5,35.9347848,139.6613766
キッズクラブはすぬま,（民設）放課後児童クラブ,720-8838,見沼区風渡野328-7,35.933998,139.667642
キッズクラブふっとの,（民設）放課後児童クラブ,878-8711,見沼区風渡野323-12,35.934358,139.667362
大砂土東小学童保育の会松の子クラブ,（民設）放課後児童クラブ,686-6949,見沼区大和田町2-1054-7,35.9378938,139.6460496
大砂土東小学童保育の会松の子クラブ第2,（民設）放課後児童クラブ,686-6950,見沼区堀崎町1661,35.939269,139.648255
やまばと学童クラブ,（民設）放課後児童クラブ,689-2126,見沼区染谷2-243-2,35.909398,139.6872892
見沼あかね学童クラブ,（民設）放課後児童クラブ,090-1538-2989,見沼区大和田町2-1358,35.9304923,139.6493327
えびっこ,（民設）放課後児童クラブ,686-1510,見沼区中川227-1-1,35.903013,139.661009
しまっ子放課後児童クラブ,（民設）放課後児童クラブ,793-4799,見沼区東大宮7-8-14,35.9470103,139.6473897
しまっ子第2放課後児童クラブ,（民設）放課後児童クラブ,795-4365,見沼区東大宮6-20-5,35.95001393,139.646224
すみれ放課後児童クラブ,（民設）放課後児童クラブ,855-5657,中央区本町東5-17-25,35.8904916,139.6204091
円阿弥つくしんぼ,（民設）放課後児童クラブ,858-0140,中央区円阿弥4-8-31,35.88992,139.609758
常盤北児童クラブ,（民設）放課後児童クラブ,832-1115,浦和区針ヶ谷4-2-12　常盤北小学校内,35.87888776,139.639092
シリウス,（民設）放課後児童クラブ,852-5910,中央区鈴谷4-13-14-102,35.8717439,139.6258617
キッズクラブ中央大戸,（民設）放課後児童クラブ,711-5010,中央区大戸6-11-18,35.8701877,139.6352818
キッズクラブよの本町,（民設）放課後児童クラブ,767-3988,中央区本町東4−8−26,35.885803,139.621419
新都心ジュピター,（民設）放課後児童クラブ,859-2113,中央区上落合3-1-13,35.889327,139.6258755
新都心マーキュリー,（民設）放課後児童クラブ,711-2517,中央区上落合2-5-34,35.8919808,139.6267059
新都心アース,（民設）放課後児童クラブ,711-6030,中央区上落合2-9-2ベルカントビル201,35.889139,139.626541
友愛新都心放課後児童クラブ,（民設）放課後児童クラブ,601-1080,中央区新都心4-9,35.891461,139.6300621
友愛第2新都心放課後児童クラブ,（民設）放課後児童クラブ,853-6699,中央区上落合1-5-7,35.8904054,139.6321976
友愛第3新都心放課後児童クラブ,（民設）放課後児童クラブ,859-5152,中央区上落合1-10-8,35.8910114,139.6291851
友愛第4新都心放課後児童クラブ,（民設）放課後児童クラブ,749-1002,中央区新都心4-12 ミツエビル401,35.89180315,139.6298823
たんぽぽ,（民設）放課後児童クラブ,852-5077,桜区大久保領家429-1,35.8681393,139.604343
西浦和さくらっ子,（民設）放課後児童クラブ,865-6554,桜区田島6-2-24,35.8417143,139.6299591
西浦和さくらっ子第2,（民設）放課後児童クラブ,862-7751,桜区田島2-11-14,35.84441,139.63272
カラフルきっず,（民設）放課後児童クラブ,789-6828,桜区町谷2-15-12,35.8589494,139.6195728
アフタースクール　ポポラー埼玉さくら園,（民設）放課後児童クラブ,851-0022,桜区道場2-1-1　サクラディア　アミューズコート1Ｆ,35.8597839,139.6172426
かたつむり学童クラブ栄和,（民設）放課後児童クラブ,716-7176,桜区栄和2-12-12-101,35.86302,139.6178
かたつむり学童クラブ西堀,（民設）放課後児童クラブ,628-3129,"桜区西堀9-27-37　ビューハイツ101,102",35.86297,139.629559
第一みのり学童クラブ,（民設）放課後児童クラブ,837-7244,桜区西堀7-23-5,35.8583137,139.6262281
第二みのり学童クラブ,（民設）放課後児童クラブ,837-7244,桜区西堀7-23-3-101,35.8582209,139.6262788
あすなろ神田児童クラブ,（民設）放課後児童クラブ,856-2125,桜区上大久保353-5,35.8727241,139.6122451
聖徳学童くらぶ,（民設）放課後児童クラブ,865-3030,桜区新開2-17-13,35.85095,139.619
太陽の家,（民設）放課後児童クラブ,831-7678,浦和区岸町5-15-6,35.850848,139.651667
北浦和スターズ,（民設）放課後児童クラブ,762-8780,浦和区北浦和2-7-4,35.876591,139.646043
北浦和ドリームズ,（民設）放課後児童クラブ,762-8707,浦和区北浦和2-7-4,35.876591,139.646043
北浦和レインボーズ,（民設）放課後児童クラブ,799-3015,浦和区北浦和2-2-4,35.876329,139.645628
領家サファイア,（民設）放課後児童クラブ,833-2308,浦和区針ヶ谷２丁目１０番４号　３階,35.88131,139.642843
領家ルビー,（民設）放課後児童クラブ,833-2308,浦和区針ヶ谷２丁目１０番４号　３階,35.88131,139.642843
ぽぷら学童クラブ,（民設）放課後児童クラブ,881-5828,浦和区瀬ヶ崎4-32-5,35.8774581,139.6657099
くすのき学童クラブ,（民設）放課後児童クラブ,711-8373,浦和区瀬ケ崎1‐30‐8,35.877233,139.660565
みつばち学童クラブ,（民設）放課後児童クラブ,711-3868,浦和区大東3-20-7,35.8834244,139.6652688
上木崎ユニコーン,（民設）放課後児童クラブ,711-4890,浦和区上木崎2-2-13,35.88594,139.640443
上木崎フェニックス,（民設）放課後児童クラブ,711-5727,浦和区上木崎4-4-32,35.884729,139.644034
上木崎グリフォン,（民設）放課後児童クラブ,789-7090,浦和区上木崎5−6−18,35.887793,139.647849
木崎ペガサス,（民設）放課後児童クラブ,833-0990,浦和区上木崎6-9-10,35.8836419,139.6517394
木崎スピカ,（民設）放課後児童クラブ,764-8122,浦和区領家4-13‐5,35.8819326,139.6544823
本太学童クラブ空,（民設）放課後児童クラブ,885-9657,浦和区本太4-12-8　第5グリーンハウス101・102,35.866763,139.655962
本太学童クラブ海,（民設）放課後児童クラブ,070-4225-3068,浦和区本太4-9-22,35.8669408,139.6582498
本太学童クラブ光,（民設）放課後児童クラブ,080-2561-5458,浦和区本太2-21-11 2階,35.86550371,139.6600116
本太学童クラブ星,（民設）放課後児童クラブ,070-4480-6552,浦和区本太2-21-11 1階,35.86550371,139.6600116
仲本キッズ・ハウス,（民設）放課後児童クラブ,882-8051,浦和区本太2-12-2,35.8605184,139.6614874
仲本キッズ・ハウス2’ｎｄ,（民設）放課後児童クラブ,887-0033,浦和区本太2-9-1-101,35.8629669,139.6581593
仲本キッズ・ハウス３ｒｄ,（民設）放課後児童クラブ,816-3939,浦和区本太1-9-5,35.861847,139.664676
らいおんきっず,（民設）放課後児童クラブ,711-3779,浦和区東仲町9-8,35.86078586,139.6570944
うらわ子供の家楽育,（民設）放課後児童クラブ,822-8335,浦和区仲町2-15-9,35.8591875,139.6511135
うらわ子供の家楽育アイリー,（民設）放課後児童クラブ,822-8335,浦和区仲町2-15-4アイリーSEVENCOURT1階,35.85901,139.650987
なかちょう子供の家楽育,（民設）放課後児童クラブ,090-3801-5054,浦和区常盤8-18-4　仲町小学校内,35.86432919,139.641198
のっぱら,（民設）放課後児童クラブ,711-6270,中央区大戸1-34-17　1階,35.86155,139.63597
のっぱら第２,（民設）放課後児童クラブ,711-3558,中央区大戸1-34-17　2階,35.86148457,139.6358022
友愛高砂放課後児童クラブ,（民設）放課後児童クラブ,833-7721,浦和区岸町4-21-12,35.8547349,139.6554764
友愛第2高砂放課後児童クラブ,（民設）放課後児童クラブ,832-1440,浦和区岸町7-1-7,35.85563,139.654318
友愛第3高砂放課後児童クラブ,（民設）放課後児童クラブ,833-9493,浦和区岸町4-25-2,35.8555984,139.6551837
友愛第4高砂放課後児童クラブ,（民設）放課後児童クラブ,822-0018,浦和区高砂2-6-15,35.8580322,139.6545702
友愛常盤放課後児童クラブ,（民設）放課後児童クラブ,832-7845,浦和区常盤9-13-7,35.8698472,139.6463229
友愛第2常盤放課後児童クラブ,（民設）放課後児童クラブ,822-7711,浦和区北浦和4-3-15,35.8716187,139.6451144
友愛第3常盤放課後児童クラブ,（民設）放課後児童クラブ,822-5505,浦和区常盤9-19-9,35.87084411,139.6458222
友愛第4常盤放課後児童クラブ,（民設）放課後児童クラブ,833-3628,浦和区北浦和4-3-11,35.87175834,139.6449872
学童保育南子どもの家,（民設）放課後児童クラブ,864-7714,南区根岸1-19-13,35.8432483,139.6617927
わくわく子供の家,（民設）放課後児童クラブ,863-0320,南区白幡1-5-14　2階202,35.845975,139.65449
辻わくわく子供の家,（民設）放課後児童クラブ,711-7780,南区辻5-6-14　KSマンション辻南103,35.834568,139.658807
向ひまわり,（民設）放課後児童クラブ,873-3981,南区大谷口5436-4,35.8582492,139.6959449
向ひまわり第２,（民設）放課後児童クラブ,711-7664,南区大谷口5425,35.857299,139.694526
田島げんきっ子,（民設）放課後児童クラブ,711-8311,桜区田島10-12-1　田島小学校内,35.8379785,139.6234866
けやきホームズ学童クラブⅠ,（民設）放課後児童クラブ,710-6888,南区鹿手袋7-13-3,35.8472564,139.6355225
けやきホームズ学童クラブⅡ,（民設）放課後児童クラブ,864-2850,南区別所7-15-20,35.846522,139.644813
けやきホームズ学童クラブⅢ,（民設）放課後児童クラブ,864-2850,南区別所7-15-20,35.8464736,139.644781
ゆめの樹学童クラブ,（民設）放課後児童クラブ,711-4445,南区鹿手袋5-5-12,35.844453,139.642427
ゆめの樹アカデミー学童クラブ,（民設）放課後児童クラブ,090-8051-5495,南区鹿手袋4-17-22,35.84859068,139.6383552
ゆめの駅学童クラブ,（民設）放課後児童クラブ,711-5525,南区鹿手袋3-15-2,35.849743,139.641643
辻南小児童クラブ,（民設）放課後児童クラブ,839-0123,南区辻8-7-32,35.8315538,139.6656959
辻南小第2児童クラブ,（民設）放課後児童クラブ,839-0122,南区辻8-22-18　303・305,35.8291057,139.6614611
はる学童クラブ,（民設）放課後児童クラブ,839-5750,南区曲本5-4-8　1階,35.8385867,139.6453075
はる第2学童クラブ,（民設）放課後児童クラブ,762-6269,南区曲本5-4-8　2階,35.838588,139.6453084
はる第3学童クラブ,（民設）放課後児童クラブ,865-8430,南区曲本4-7-8,35.8376545,139.64053
きっず＆はる学童クラブ,（民設）放課後児童クラブ,789-6066,南区沼影1-11-2武蔵浦和sky&garden2階,35.84287,139.6472
キッズスクール8（エイト）,（民設）放課後児童クラブ,767-7618,南区白幡5-1-28-303,35.8460427,139.6505499
かたつむり学童クラブ文蔵,（民設）放課後児童クラブ,717-5606,南区文蔵3-35-17　ITヒルズ1階,35.839512,139.671625
かたつむり学童クラブ文蔵Ⅱ,（民設）放課後児童クラブ,711-5265,南区文蔵3-35-6ウィステリアメゾン1F,35.839693,139.673114
友愛南浦和東放課後児童クラブ,（民設）放課後児童クラブ,881-7750,南区南浦和2-40-10,35.848206,139.671866
友愛第２南浦和東放課後児童クラブ,（民設）放課後児童クラブ,885-3131,南区南浦和2-28-16,35.849351,139.671179
友愛第3南浦和東放課後児童クラブ,（民設）放課後児童クラブ,711-1108,南区南浦和2‐18‐12,35.84964,139.670989
善前かえでクラブ,（民設）放課後児童クラブ,762-3326,南区太田窪2367　1階,35.853461,139.682065
善前すみれクラブ,（民設）放課後児童クラブ,755-9181,南区太田窪2367　2階,35.853461,139.682065
友愛原山東放課後児童クラブ,（民設）放課後児童クラブ,887-5757,南区広ヶ谷戸388-5,35.865046,139.682584
尾間木学童クラブゆずりは,（民設）放課後児童クラブ,874-3488,緑区東浦和8-20-20　2階,35.86819004,139.6947847
尾間木学童クラブとちのき,（民設）放課後児童クラブ,875-6004,緑区東浦和8-20-20　1階,35.86819004,139.6947847
尾間木学童クラブなのはな,（民設）放課後児童クラブ,875-3336,緑区東浦和8-2-25　1階,35.871004,139.698919
尾間木学童クラブこすもす,（民設）放課後児童クラブ,874-1550,緑区東浦和8-2-25　2階,35.871004,139.698919
尾間木学童クラブすずらん,（民設）放課後児童クラブ,070-3971-6818,緑区東浦和8‐11‐5（尾間木小学校校舎内）,35.869037,139.697428
かたつむり学童クラブ大牧,（民設）放課後児童クラブ,717-1624,緑区東浦和６−１６−３,35.873833,139.705307
三室あおぞら,（民設）放課後児童クラブ,873-7442,緑区三室1498-1,35.8838088,139.6758847
見沼学童クラブ,（民設）放課後児童クラブ,874-3252,緑区芝原2-15-8,35.882439,139.694056
鳥海学園放課後児童クラブ,（民設）放課後児童クラブ,873-6171,緑区大間木3−39−8,35.8791036,139.690121
友愛原山放課後児童クラブ,（民設）放課後児童クラブ,887-9110,緑区太田窪3-7-16,35.863425,139.6736755
友愛第２原山放課後児童クラブ,（民設）放課後児童クラブ,885-8880,緑区太田窪3-7-16,35.863425,139.6736755
松木学童,（民設）放課後児童クラブ,810-5237,緑区三室1829-15,35.87891156,139.6820005
中尾学童クラブ,（民設）放課後児童クラブ,874-1614,緑区中尾1403-1,35.8738767,139.6853103
美園放課後児童クラブ,（民設）放課後児童クラブ,878-5659,緑区美園5-33,35.8906454,139.7353881
美園第二放課後児童クラブ,（民設）放課後児童クラブ,711-8940,緑区美園5-23-15,35.891851,139.735015
あいう園美園放課後児童クラブ,（民設）放課後児童クラブ,878-0606,緑区美園5-49-15,35.8902195,139.7337671
あいう園ひふみ放課後児童クラブ,（民設）放課後児童クラブ,789-7293,緑区美園5-49-13,35.889354,139.734491
あいう園いろは放課後児童クラブ,（民設）放課後児童クラブ,764-8282,緑区美園2-15-6,35.899932,139.722295
あいう園いろは第二放課後児童クラブ,（民設）放課後児童クラブ,826-6068,緑区美園2-15-6,35.899932,139.722295
キッズクラブみその,（民設）放課後児童クラブ,799-3933,緑区美園5-34-2,35.891479,139.73496
キッズクラブ浦和みその北,（民設）放課後児童クラブ,878-5500,緑区美園2-13-2,35.900071,139.7231
キッズクラブ浦和みその北第2,（民設）放課後児童クラブ,711-6138,緑区美園2-13-2,35.90005592,139.7229883
美園北放課後児童クラブ第１,（民設）放課後児童クラブ,799-3838,緑区美園2-12-11美園北小学校内,35.90067,139.7234
美園北放課後児童クラブ第２,（民設）放課後児童クラブ,799-3838,緑区美園2-12-11美園北小学校内,35.90067,139.7234
川通,（民設）放課後児童クラブ,799-0851,岩槻区大野島485-3,35.9411169,139.7312427
河合小児童クラブ,（民設）放課後児童クラブ,758-3821,岩槻区平林寺371-4,35.967739,139.6719093
あすなろ太田児童クラブ,（民設）放課後児童クラブ,758-3641,岩槻区仲町1-5-7　2F,35.9460494,139.7015126
あすなろ太田第2児童クラブ,（民設）放課後児童クラブ,758-3640,岩槻区仲町1-5-7　1F,35.9460435,139.7015162
キッズクラブいわつき西,（民設）放課後児童クラブ,795-6188,岩槻区西原2-15,35.9505616,139.6882189
キッズクラブいわつき西シエル,（民設）放課後児童クラブ,812-7111,岩槻区西町3-2-8,35.953194,139.686294
キッズクラブいわつき北,（民設）放課後児童クラブ,812-7900,岩槻区西町4-1-1　小島ビル201,35.95447112,139.6891573
キッズクラブいわつき東,（民設）放課後児童クラブ,795-8666,岩槻区東岩槻2-2-17　吉岡ビルB201号室,35.965039,139.70907
さいたま児童クラブ愛いわつき,（民設）放課後児童クラブ,758-6118,岩槻区愛宕町4-18 アライビル1F,35.9544659,139.6963796
東武学童クラブ,（民設）放課後児童クラブ,872-6365,岩槻区真福寺1464番地1,35.93463733,139.7129942
宮前放課後児童クラブ,（公設）放課後児童クラブ,622-0844,西区宮前町４４３,35.9241206,139.5946766
佐知川放課後児童クラブ,（公設）放課後児童クラブ,623-6927,西区佐知川２９９−１６,35.9036393,139.5875339
植水放課後児童クラブ,（公設）放課後児童クラブ,625-1908,西区中野林１７４−１,35.8937691,139.5921074
馬宮放課後児童クラブ,（公設）放課後児童クラブ,625-8826,西区西遊馬５３３−１,35.9051354,139.5726979
栄放課後児童クラブ,（公設）放課後児童クラブ,625-9779,西区指扇６１０−３,35.9076897,139.5819062
植水第二放課後児童クラブ,（公設）放課後児童クラブ,625-6027,西区中野林２２５−３,35.8936735,139.5936994
植竹放課後児童クラブ,（公設）放課後児童クラブ,652-3247,北区盆栽町４３０,35.9273665,139.6281166
宮原放課後児童クラブ,（公設）放課後児童クラブ,667-3808,北区宮原町４−６６−１３,35.9471921,139.6109898
本郷放課後児童クラブ,（公設）放課後児童クラブ,664-7551,北区本郷町１０６５−３,35.9456886,139.6262123
大砂土放課後児童クラブ,（公設）放課後児童クラブ,653-2793,北区本郷町１７−７,35.9376549,139.6262295
三橋放課後児童クラブ,（公設）放課後児童クラブ,644-2978,大宮区三橋２−５９,35.9028746,139.6039596
天沼放課後児童クラブ,（公設）放課後児童クラブ,645-7988,大宮区天沼町１−１９４,35.9062195,139.636951
七里放課後児童クラブ,（公設）放課後児童クラブ,687-9335,見沼区東宮下３９２,35.9307008,139.6761569
海老沼放課後児童クラブ,（公設）放課後児童クラブ,687-4525,見沼区東新井７１０−７８,35.9048395,139.6646815
春野放課後児童クラブ,（公設）放課後児童クラブ,686-6690,見沼区春野１−７−１,35.9556838,139.6679948
東大宮放課後児童クラブ,（公設）放課後児童クラブ,687-4099,見沼区東大宮７−５−１８,35.9467591,139.645493
東宮下放課後児童クラブ,（公設）放課後児童クラブ,687-8351,見沼区東宮下２１５−１,35.9259145,139.6776449
与野八幡放課後児童クラブ,（公設）放課後児童クラブ,854-5700,中央区本町東５−２３−１４,35.8905035,139.6218811
