自治会名一覧,,,,,,,,
令和４年４月２５日現在,,,,,,,,
西　区,,,,,,,,
1,南部地区,北袋町１丁目自治会、北袋町一丁目東自治会、北袋養和自治会、北袋町２丁目自治会、吉敷町１丁目自治会、吉敷町２丁目自治会、吉敷町三丁目自治会、吉敷町４丁目自治会、浅間町二丁目自治会、天沼町２丁目東部自治会、天沼町二丁目中部自治会、天沼２丁目西部自治会、天沼台みな月会、平和台自治会、大原六丁目自治会、大原七丁目北部睦会、下木崎団地自治会、造幣局宿舎自治会、シントシティ自治会,19,,,,,
2,中部地区,大門町１丁目自治会、大門町２丁目自治会、大門町３丁目自治会、仲町１丁目仲和会、仲町２丁目睦会、仲町三丁目自治会、浅間町一丁目自治会、下町明美会、宮町１丁目自治会、東町１丁目自治会、東町二丁目自治会、天沼１丁目東部自治会、天沼町１丁目中部自治会、天沼町一丁目西部自治会、天沼町１丁目睦自治会、恒陽大宮公園マンション自治会,16,,,,,
3,北部地区,宮町２丁目自治会、宮町三丁目自治会、宮町４丁目自治会、宮町五丁目自治会、土手町１丁目自治会、土手町２丁目自治会、土手町３丁目自治会、高鼻町１丁目自治会、高鼻町三丁目町内会,9,,,,,
4,桜木地区,桜木町１丁目第１自治会、桜木町１丁目第２自治会、桜木町１丁目第３自治会、桜木町２丁目第１区自治会、桜木町２丁目第２区自治会、桜木町２丁目第３区自治会、桜木町２丁目第４区自治会、桜木町三丁目自治会、桜木町四丁目自治会、桜木町４丁目東自治会、桜木町４丁目北部自治会、セントラルスウィート大宮桜木町自治会,12,,,,,
5,三橋地区,三橋一丁目自治会、三橋二丁目自治会、三橋三丁目自治会、三橋四丁目自治会、上小町自治会、県営三橋団地自治会,6,,,,,
6,大成地区,大成町１丁目八幡自治会、大成町二丁目自治会、大成町３丁目八雲自治会、櫛引町１丁目自治会、イーストハイム大成自治会,5,,,,,
7,東部地区,堀の内町１丁目自治会、堀の内町２丁目自治会、堀の内町三丁目町内会、堀の内グランドシティ自治会、堀の内町１丁目芝川自治会、高鼻町ニ丁目自治会、寿能町一丁目町会、寿能団地自治会、寿能町２丁目自治会、大宮公園駅前ハイツ自治会、ＪＲ寿能町アパート自治会,11,,,,,
小　計,,,78,,,,,
地区連合会未加入自治会,,グランドミッドタワーズ大宮自治会,1,,,,,
大　宮　区　合　計,,,79,,,,,
,,,,,,,,
見　沼　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
1,大砂土東地区,大和田自治会、大和田東自治会、大和田駅前団地自治会、大和田前原自治会、島町自治会、堀崎町自治会、東大宮自治会　　、県営大宮砂団地自治会、松ヶ丘自治会、東大宮７丁目自治会、東大宮２丁目自治会、東大宮３丁目自治会、東大宮四丁目自治会、東大宮６丁目自治会、ブルーハイツ大宮自治会、東大宮５丁目自治会、ライオンズガーデン東大宮自治会、ジェイシティ東大宮自治会,18,,,,,
2,片柳地区,片柳自治会、南中野自治会、東中野自治会、御蔵白岡自治会、中御蔵自治会、東西御蔵自治会、御蔵台自治会、柳団地自治会、つつじヶ丘自治会、中川自治会、山自治会、青葉自治会、染谷自治会、東新井笹丸自治会、東新井木野下自治会、東新井団地自治会、みどりヶ丘自治会、美浦ヶ丘自治会、ライオンズガーデン大宮第２自治会、グローブコート大宮南中野自治会、染谷共栄自治会、南中丸自治会、南鳳台自治会,23,,,,,
3,七里地区,東宮下第１自治会、東宮下第二自治会、神宮台自治会、東宮下高層自治会、大谷第一自治会、大谷第二自治会、大谷第３自治会、大谷第四自治会、大谷南平台自治会、大谷自治会、生協大谷自治会、新堤自治会、東宮下団地自治会、東門前第１自治会、蓮沼自治会、七里グリーンハイツ自治会、風渡野第１自治会、風渡野第二自治会、膝子自治会、シャルマンコーポ七里自治会、大宮七里サンコーポ自治会、大宮七里パークホームズ自治会、エクセル大宮東自治会、ライオンズガーデン大宮七里自治会、サンパーク七里自治会、ダイアパレス七里駅前自治会,26,,,,,
4,春岡地区,丸ヶ崎自治会、小深作自治会、愛和自治会、春岡市営住宅自治会、深交自治会、深作自治会、宮ヶ谷塔自治会、大宮七里ハウス自治会、深作新田自治会、大宮東五番街団地自治会、春野一区自治会、東三番街自治会、プロムナード大宮春野自治会、アーバンみらい東大宮東2番街自治会、東一番街自治会、コスモ春野自治会、はるさと団地自治会、ひがしはる野団地自治会、はる野4丁目北自治会,19,,,,,
小　計,,,86,,,,,
地区連合会未加入自治会,,県営大宮東門前団地自治会、七里第二自治会、市営春野団地自治会、砂中央公園前自治会,4,,,,,
見　沼　区　合　計,,,90,,,,,
,,,,,,,,
中　央　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
1,西与野地区,上町自治会、仲町自治会、下町自治会、大和町自治会、上峰自治会、八王子自治会、円阿弥自治会、桜丘自治会、かやのき自治会、キララガーデン自治会,10,,,,,
2,上落合地区,上落合第１自治会、上落合第２自治会、上落合第３自治会、上落合第４自治会、上落合第５自治会、与野ハウス自治会、ポルテ２９自治会、ノースピア上落合コミュニティ部会、S４-Tower自治会、びゅうサイトタワー自治会、ＭＩＤ ＴＯＷＥＲ自治会、シティタワーさいたま新都心自治会、パークシティ大宮自治会、パークシティさいたま自治会、パークスクエアさいたま新都心自治会、シティテラスさいたま新都心自治会,16,,,,,
3,下落合地区,本村町１丁目自治会、本村町自治会、稲荷町自治会、与野高層自治会、寿町自治会、旭町自治会、向原自治会,7,,,,,
4,大戸・中里地区,中里自治親和会、大戸北第１自治会、大戸北第２自治会、大戸東自治会、大戸西自治会、大戸１丁目自治会、大戸２・３丁目自治会,7,,,,,
5,鈴谷地区,鈴谷第１自治会、鈴谷第２自治会、鈴谷第３自治会、鈴谷第４自治会、クローバー・シティ与野自治会,5,,,,,
小　計,,,45,,,,,
地区連合会未加入自治会,,JR東日本与野中里社宅自治会、コスモ与野ガーデンシティ自治会,2,,,,,
中　央　区　合　計,,,47,,,,,
,,,,,,,,
桜　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
1,土合第一地区,西堀日向自治会、西堀日向第一自治会、西堀北上の宮自治会、西堀南上の宮自治会、西堀里自治会、西堀仲自治会、西堀東十丁目自治会、西堀門前自治会、南高沼自治会、西堀北高沼自治会、メゾン浦和自治会、イトーピア西浦和自治会、ラミ−ユ浦和自治会、桜田一丁目自治会、桜田二丁目自治会、桜田三丁目自治会、新開第一自治会、新開自治新和会、町谷第一自治会、町谷第二自治会、町谷第三自治会、町谷第４自治会、町谷イーストコーポラス自治会、南元宿第一自治会、南元宿第二自治会,25,,,,,
2,土合第二地区,田島第一自治会、田島第二自治会、田島第三自治会、田島第四自治協力会、田島第七自治会、田島団地自治会、田島西自治会、田島八丁目自治会、ひつ和自治会、田島新生会自治会、さくら草自治会、サンマンションアトレ西浦和自治協力会、ライオンズマンション西浦和第二自治会,13,,,,,
3,土合第三地区,道場第一自治会、道場第二自治会、道場第三自治会、秋ヶ瀬ハイツ自治会、中島第一自治会、中島第二自治会、中島本杢自治会、栄和南住宅管理組合自治会、栄和第一自治会、栄和第二自治会、栄和第三自治会、栄和第四自治会、栄和東自治会、浦和栄和住宅管理組合、栄和丸田自治会、山久保自治会、パークスクエア浦和自治会、サクラディア自治会,18,,,,,
4,大久保地区,上大久保自治協力会、上大久保北浦和マンション自治会、下大久保自治協力会、パルコート浦和自治会、大久保領家自治協力会、浦和大久保団地自治会、西角自治会、大久保領家西自治協力会、神田自治協力会、浦和ニューハイツ自治会、白鍬南自治会、白鍬自治協力会、白鍬電建自治会、県営浦和しらくわ団地自治会、在家自治協力会、宿自治協力会、五関自治協力会、塚本自治協力会、やつしまニュータウン自治会,19,,,,,
小　計,,,75,,,,,
地区連合会未加入自治会,,コスモシティ浦和自治会、浦和クレイベル自治会、コスモ浦和西自治会,3,,,,,
桜　区　合　計,,,78,,,,,
,,,,,,,,
浦　和　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
1,中央地区,南自治協力会、調自治協力会、岸町五丁目みどり自治協力会、岸六自治会、岸町七丁目自治会、東岸町自治会、高砂一丁目町会、高砂二丁目自治協力会、高砂三丁目自治会、高砂四丁目自治会、高砂東自治協力会、東高砂町大和自治協力会、仲町一丁目自治会、浦和仲町二丁目自治会、仲町三丁目自治会、浦和仲町四丁目自治会、東仲町自治会,17,,,,,
2,常盤地区,常盤一・二丁目自治会、常盤三丁目自治協力会、常盤四丁目自治会、常盤五丁目自治会、常盤団地自治会、常盤六丁目自治会、常盤七丁目自治会、常盤八丁目自治協力会、常盤九丁目自治協力会、常盤十丁目自治協力会,10,,,,,
3,元府趾地区,本太一丁目自治会、本太二丁目自治会、本太三丁目町会、本太四丁目町会、本太五丁目自治会、元町一丁目町会、元町二丁目自治会、元町三丁目自治会、前地自治会、前地三丁目自治会,10,,,,,
4,北浦和・針ヶ谷地区,浦和コーポラス自治会、北浦和東部自治会、北浦和三丁目自治会、北浦和四丁目自治協力会、北浦和五丁目自治協力会、針ヶ谷一丁目自治会、針ヶ谷一丁目天神会、針ヶ谷二丁目自治協力会、針ヶ谷二丁目東部自治会、針ヶ谷三丁目自治協力会、針ヶ谷四丁目自治会、浦和高層団地自治会、コープ野村浦和自治会、北浦和住宅自治会,14,,,,,
5,木崎第一地区,領家一丁目自治会、領家二丁目自治会、領家三丁目自治会、領家四丁目自治協力会、領家五丁目自治会、領家六丁目自治会、領家七丁目自治会、領家コーポ自治協力会、大東自治協力会、神花親和会、瀬ヶ崎むつみ自治会、瀬ヶ崎自治会、前島自治会、榎自治会、エクセル北浦和自治協力会、駒場自治会、木崎自治協力会、ひかり自治会,18,,,,,
6,木崎第二地区,上木崎第一自治協力会、浦和北ローヤルコーポ自治協力会、上木崎二丁目自治協力会、上木崎三丁目自治協力会、上木崎四丁目自治協力会、上木崎五丁目自治協力会、上木崎六丁目自治協力会、上木崎七丁目自治協力会、上木崎八丁目自治協力会、皇山自治協力会、日生浦和自治会、浦和西高台自治会、弁天下自治会、リビオ浦和上木崎グランセーヌ自治会、アリーナガーデン自治会、フォーサイトパークス自治会,16,,,,,
浦　和　区　合　計,,,85,,,,,
,,,,,,,,
南　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
1,大谷場地区,大谷場自治会、大谷場上町自治会、大谷場下町自治会、南本町自治会、白鷺自治会、南浦和一丁目自治会、南浦和二丁目自治会、南浦和三丁目自治会、南浦和東自治会、南浦和団地自治会、南浦和四丁目自治会、さいたま市営南浦和団地自治会,12,,,,,
2,谷田地区,太田窪二丁目自治会、太田窪四丁目自治会、太田窪新生自治会、柳橋自治会、善前第一自治会、善前自治会、善前南自治会、太田窪不動入自治会、谷田川自治会、太田窪新田自治会、大島台懇和会自治会、東大島自治会、太田窪二十三夜自治会、太田窪新下自治会、円正寺自治協力会、北大島自治会,16,,,,,
3,大谷口地区,みどり自治会、細野自治協力会、大谷口県営住宅自治会、電電細野自治会、細野友和会、細野睦自治会、大谷口西自治会、ひばり自治会、大谷口細野団地自治協力会、向原自治協力会、大谷口明花自治会、大谷口向第四自治会、向自治会、向第一自治会、大谷口向第二自治会、大谷口向第三自治会、東中尾自治会、けやき街自治協力会、広ヶ谷戸自治会、イーストシティかつら街自治会,20,,,,,
4,南部地区,辻一丁目自治協力会、辻二丁目自治会、辻三丁目自治協力会、辻四・五・六丁目自治協力会、辻七丁目自治協力会、一二三自治会、辻八丁目自治協力会、辻水深団地自治会、文蔵一丁目自治会、文蔵二丁目自治会、文蔵三丁目自治会、文蔵四丁目自治会、文蔵五丁目自治会、文蔵南自治会、神明自治会、根岸自治会、根岸三丁目自治会,17,,,,,
5,武蔵浦和地区,別所第一自治会、別所第二自治会、浦和別所ハイツ自治会、別所第三自治会、別所大里自治会、白幡自治会、白幡東高層住宅自治会、浦和白幡西住宅管理組合自治会、白幡南自治会、白幡瓶尻自治会、メイツ武蔵浦和自治会、沼影自治会、ラムザ自治会、グランディオシティ武蔵浦和自治会、エステート浦和自治会、ミューズシティ自治会、南浦和センチュリーマンション自治会、ナリア自治会、ライブタワー武蔵浦和自治会、武蔵浦和SKY&GARDEN自治会,20,,,,,
6,西浦和地区,松本一丁目自治会、松本二丁目自治会、松本三丁目自治会、松本四丁目自治会、曲本一丁目自治会、曲本二丁目自治会、曲本三丁目自治会、曲本四丁目自治会、曲本五丁目自治会、内谷一丁目自治会、パシフィックパレス武蔵浦和管理組合自治会、ライオンズマンション武蔵浦和自治会、内谷二丁目自治会、内谷三丁目自治会、内谷四丁目自治会、内谷五丁目自治会、内谷六丁目自治会、内谷七丁目自治会,18,,,,,
7,西地区,関自治会、鹿手袋しらさぎ自治会、鹿手袋第一自治会、鹿手袋第二自治会、鹿手袋一丁目自治会、鹿手袋野方自治会、武蔵浦和パークホームズウエストコート自治会、四谷一丁目町会、四谷二丁目自治会、四谷三丁目町会、デュオヒルズ武蔵浦和自治会,11,,,,,
小　計,,,114,,,,,
地区連合会未加入自治会,,大谷口分譲地自治会,1,,,,,
南　区　合　計,,,115,,,,,
,,,,,,,,
緑　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
1,原山地区,小太田自治協力会、坊之在家自治会、原山自治会、原山北原自治協力会、浦和パークハイツ自治会、原山四丁目自治会、桜並木自治会、大在家自治会、太田窪三丁目自治会,9,,,,,
2,尾間木地区,不動谷自治会、駒前自治会、駒形自治会、中丸自治会、花月園自治会、富士見ヶ丘自治協力会、緑台自治会、中尾台自治協力会、新緑島自治協力会、緑島自治協力会、メゾン浦和Ⅲ自治会、ルイシャトレ浦和自治会、中丸団地自治会、水深自治協力会、清風園自治会、東浦和住宅自治会、附島自治会、八丁自治会、浅間下自治会、旭ヶ丘自治会、下山口自治会、東浦和一丁目自治会、東浦和三丁目自治会、東浦和四丁目自治会、東浦和五丁目自治会、東浦和六丁目自治会、東浦和七丁目自治会、梅の郷自治会、会梅自治協力会、内谷自治協力会、ロイヤルヒルズ自治協力会、サンライフ東浦和自治会、井沼方県営住宅自治会、東浦和二丁目第一自治会、東浦和二丁目第二自治会、緑ヶ丘自治会、ワコーレ東浦和自治会、うらわイーストシティみずき街自治会、ヒューマンスクエア東浦和アトレシア自治会,39,,,,,
3,三室地区,山崎自治会、みむろ自治会、宿区自治会、宿第二自治協力会、みむろ西自治会、馬場自治会、ぎんもくせい自治会、松木自治会、芝原自治協力会、北浦和マンション自治会、道祖土自治会、さいど坂の上団地自治会、道祖土むつみ会、シェトワ浦和自治会、ダイアパレス浦和駒場公園自治協力会、宮本自治協力会、道祖土団地自治会、三室高砂自治会、三室おぶさと住宅自治会、パレットコート浦和自治会,20,,,,,
4,美園地区,大崎自治会、南部領辻自治会、中野田自治協力会、上野田自治会、宝永自治協力会、高畑自治協力会、代山自治協力会、寺山自治協力会、大門上自治会、大門中自治会、大門南自治会、大門下自治会、浦和野台自治会、北原自治会、間宮自治会、間宮美園団地自治会、下野田自治協力会、玄蕃新田自治協力会、浦和競馬場トレセン自治会,19,,,,,
小　計,,,87,,,,,
地区連合会未加入自治会,,エクセルコート東浦和自治会、道祖土戸崎団地自治会、桜台自治協力会、センターフィールド浦和美園自治会、ウエリス浦和美園自治会、浦和美園Ｅ−フォレスト自治会、大門美園自治会,7,,,,,
緑　区　合　計,,,94,,,,,
,,,,,,,,
岩　槻　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
1,岩槻地区,岩槻第１区自治会、岩槻第２区自治会、岩槻第３区自治会、岩槻第４区自治会、岩槻第５区自治会、岩槻第６区自治会、愛宕町自治会、西町第１自治会、西町第２自治会、西町第３自治会、西町第４自治会、西町第５自治会、西本町自治会、大工町自治会、渋江町自治会、田中町自治会、日の出町自治会、美幸町自治会、宮町自治会、東宮町自治会、太田自治会、太田１丁目自治会、太田二丁目自治会、太田３丁目自治会、栄町自治会、新町自治会、秋葉町自治会、東町自治会、林道町自治会、元浅間第一自治会、元浅間第二自治会、元浅間第三自治会、富士見町自治会、新曲輪自治会、白鶴自治会、西原台自治会、知楽町自治会、並木町自治会、本丸第１自治会、本丸第２自治会、本丸第３自治会、ひがし野自治会、岩槻西部自治会、大栄住宅自治会、グリーンタウン自治会、東急岩槻自治会、府内団地自治会、グレースタウン自治会、岩槻スカイハイツ自治会、エクレール岩槻自治会、城北自治会、加倉坂下自治会、加倉住宅自治会、ＦＥＳＴＡ　ＴＯＷＮ自治会,54,,,,,
2,川通地区,南平野自治会、長宮自治会、大野島自治会、増長自治会、大口自治会、大谷自治会、大戸自治会、新方須賀自治会、大森自治会,9,,,,,
3,柏崎地区,柏崎自治会、柏崎原自治会、加倉第１区自治会、加倉第２区自治会、加倉第３区自治会、浮谷上自治会、浮谷下自治会、谷下自治会、横根上自治会、横根下自治会、浮谷市営住宅自治会、真福寺自治会,12,,,,,
4,和土地区,飯塚自治会、黒谷自治会、笹久保自治会、笹久保新田自治会、村国自治会、西飯塚自治会、南下新井自治会、柳橋自治会、和土住宅自治会,9,,,,,
5,新和地区,尾ケ崎自治会、尾ケ崎新田自治会、釣上自治会、釣上新田自治会、釣上新田南自治会、城南川原自治会、野孫自治会、高曽根自治会、末田自治会,9,,,,,
6,慈恩寺地区,慈恩寺自治会、小溝自治会、小溝１丁目１区２区自治会、小溝１丁目３区自治会、小溝１丁目４区５区自治会、小溝東自治会、徳力自治会、西徳力自治会、東徳力自治会、表慈恩寺東部自治会、表慈恩寺西部自治会、南辻自治会、上野自治会、古ケ場自治会、裏慈恩寺自治会、裏慈恩寺貝塚自治会、裏慈恩寺南部自治会、朝日団地自治会、鹿室自治会、鹿室南自治会、相野原自治会、グリーンクレスト岩槻自治会,22,,,,,
7,河合地区,掛自治会、金重自治会、本宿自治会、箕輪自治会、平林寺自治会、馬込自治会、金重県住自治会、東海自治会、ローズ住宅自治会、江川地区自治会、西平自治会,11,,,,,
8,東岩槻地区,東岩槻自治会、東岩槻南自治会、東岩槻中央自治会、東岩槻３丁目自治会、東岩槻つくし自治会、赤坂自治会、諏訪北部自治会、諏訪一丁目自治会、諏訪二丁目自治会、諏訪５丁目自治会、上里自治会、諏訪さくら自治会、諏訪かえで自治会,13,,,,,
小　計,,,139,,,,,
地区連合会未加入自治会,,諏訪中層自治会,1,,,,,
岩　槻　区　合　計,,,140,,,,,
,,,,,,,,
,,,,,,,,
さいたま市全体,,,,,,,,
内　　　　　　　　　　訳,,,自治会数,,,,,
地区自治会連合会加入自治会,,,841,,,,,
地区自治会連合会未加入自治会,,,20,,,,,
合計,,,861,,,,,
