住所（所在地）,名称,種別,緯度,経度
北区奈良町120-2,医療法人財団　聖蹟会　介護老人保健施設 ハートランド大宮,不在者投票指定施設,35.9514964,139.597809
北区日進町2丁目1334,株式会社ニチイケアパレス　介護付有料老人ホーム ニチイホーム大宮,不在者投票指定施設,35.5542276,139.365323
北区土呂町1522,医療法人社団  協友会 彩の国東大宮メディカルセンター,不在者投票指定施設,35.5539882,139.3817304
大宮区宮町2丁目90,医療法人　宇治病院,不在者投票指定施設,35.9098831,139.6287386
大宮区三橋1丁目1173,医療法人明浩会　西大宮病院,不在者投票指定施設,35.9068586,139.5993648
大宮区堀の内2丁目160,医療法人社団双愛会　大宮双愛病院,不在者投票指定施設,35.9116934,139.636123
大宮区天沼町1丁目847,自治医科大学附属さいたま医療センター,不在者投票指定施設,35.9069832,139.6452471
大宮区天沼町1丁目154-1,社会福祉法人育成特別養護老人ホーム白菊苑,不在者投票指定施設,35.9061155,139.6390504
大宮区上小町1151-1,株式会社ベストライフ有料老人ホームベストライフ大宮,不在者投票指定施設,35.898131,139.6144422
大宮区上小町1187,社会福祉法人悠揚会　特別養護老人ホーム　はるぱてお,不在者投票指定施設,35.8966692,139.6130501
大宮区上小町960-5,メディカル・ケア・サービス株式会社　有料老人ホーム　アンサンブル大宮,不在者投票指定施設,35.8976755,139.6098946
見沼区片柳1550,大宮共立病院,不在者投票指定施設,35.9051082,139.6910215
見沼区片柳1550,医療法人財団新生会　大宮共立病院介護医療院,不在者投票指定施設,35.9051082,139.6910215
見沼区東宮下196,医療法人一成会　さいたま記念病院,不在者投票指定施設,35.9267197,139.6779797
見沼区片柳1550,社会福祉法人欣彰会老人保健施設 大宮ナーシングピア,不在者投票指定施設,35.9042565,139.6910049
見沼区染谷3丁目430-1,社会福祉法人瑞泉介護老人保健施設　あすか,不在者投票指定施設,35.9077791,139.686528
見沼区春野2丁目9-22,医療法人財団聖蹟会介護老人保健施設　アーバンみらいハートランド東大宮,不在者投票指定施設,35.9576001,139.6605623
見沼区片柳1387-1,医療法人財団新生会　介護老人保健施設高齢者ケアセンターのぞみ,不在者投票指定施設,35.9032477,139.6902465
見沼区片柳1298,特別養護老人ホーム　敬寿園,不在者投票指定施設,35.9045162,139.6916646
見沼区大和田町2丁目336,社会福祉法人五葉会特別養護老人ホーム見沼緑水苑,不在者投票指定施設,35.928934,139.6427443
見沼区南中野29,社会福祉法人大桜会特別養護老人ホーム諏訪の苑,不在者投票指定施設,35.9049523,139.660407
見沼区染谷3丁目430-1,社会福祉法人瑞泉ケアハウスヴェルデ八雲,不在者投票指定施設,35.9078518,139.6865086
見沼区大和田町1丁目1275,株式会社長谷工シニアウェルデザイン　センチュリーシティ大宮公園,不在者投票指定施設,35.925569,139.6509904
見沼区御蔵1064-1,社会福祉法人浦和の里　特別養護老人ホームあおぞら,不在者投票指定施設,35.9006969,139.671551
見沼区卸町2丁目21-1,社会福祉法人安心会　特別養護老人ホームさいたまやすらぎの里,不在者投票指定施設,35.9514159,139.6781537
見沼区片柳1298,社会福祉法人欣彰会　ケアハウスみたがい,不在者投票指定施設,35.9047446,139.6922253
見沼区染谷3丁目190-1,社会福祉法人健寿会　特別養護老人ホームさいたまかがやきの里,不在者投票指定施設,35.9098052,139.6822818
見沼区東宮下883-1,社会福祉法人　桐和会　特別養護老人ホーム　見沼さくらの杜,不在者投票指定施設,35.9376312,139.6790031
見沼区風渡野45,医療法人社団　協友会　介護老人保健施設　ハートケア東大宮,不在者投票指定施設,35.9373431,139.6739563
見沼区大谷2022-1,社会福祉法人欣彰会　特別養護老人ホーム敬寿園七里ホーム,不在者投票指定施設,35.9259077,139.6744875
見沼区島町305,社会福祉法人　山寿会　特別養護老人ホーム　島町花の郷,不在者投票指定施設,35.9436881,139.6525717
中央区新都心1-5,さいたま赤十字病院,不在者投票指定施設,35.53315,139.3752
中央区本町東6丁目11-1,埼玉精神神経センター,不在者投票指定施設,35.8939728,139.6175123
中央区新中里2丁目8-6,社会福祉法人明日栄会特別養護老人ホームきりしき,不在者投票指定施設,35.8719967,139.6339442
中央区新中里2丁目8-6,社会福祉法人明日栄会特別養護老人ホームきりしき（ユニット型）,不在者投票指定施設,35.8719967,139.6339442
中央区本町東6丁目11-1,社会福祉法人シナプス特別養護老人ホームナーシングヴィラ与野,不在者投票指定施設,35.8935549,139.6176322
中央区大戸1丁目33-12,社会福祉法人五葉会　特別養護老人ホーム　緑水苑与野,不在者投票指定施設,35.8617333,139.6367414
中央区新都心1-2,地方独立行政法人埼玉県立病院機構　埼玉県立小児医療センター,不在者投票指定施設,35.53279,139.3755
桜区上大久保884,医療法人聖仁会　西部総合病院,不在者投票指定施設,35.8732936,139.6155437
桜区宿400,社会福祉法人浦和の里　特別養護老人ホーム彩寿苑,不在者投票指定施設,35.8741671,139.5930042
桜区宿372-1,社会福祉法人安誠福祉会介護老人保健施設ファインハイム,不在者投票指定施設,35.876823,139.5946126
桜区田島4丁目35番17号,医療法人社団松弘会 三愛病院,不在者投票指定施設,35.84913,139.6266
桜区西堀8丁目4-1,医療法人栄寿会　林病院,不在者投票指定施設,35.8605664,139.6344922
桜区西堀8丁目4-1,医療法人栄寿会　介護老人保健施設うらわの里,不在者投票指定施設,35.8602942,139.6345892
桜区町谷2丁目7番18号,社会福祉法人錦江舎　特別養護老人ホーム　夢眠さくら,不在者投票指定施設,35.8592325,139.6200508
浦和区北浦和4丁目9-3,独立行政法人地域医療機能推進機構　埼玉メディカルセンター,不在者投票指定施設,35.87261,139.6435249
浦和区北浦和5丁目2-7,独立行政法人地域医療機能推進機構　埼玉メディカルセンター附属介護老人保健施設,不在者投票指定施設,35.8739452,139.6429585
浦和区東高砂町29-18,医療法人　川久保病院,不在者投票指定施設,35.859659,139.6620178
浦和区領家6丁目10-7,社会福祉法人安心会　介護老人福祉施設浦和ふれあいの里,不在者投票指定施設,35.8805217,139.6480855
浦和区常盤8丁目17番9号,社会福祉法人まあれ愛恵会　特別養護老人ホームたいようの杜,不在者投票指定施設,35.8639472,139.6417031
南区太田窪1973-5,医療法人有隣会　わかくさ病院,不在者投票指定施設,35.8533126,139.6814089
南区鹿手袋7丁目13-4,社会福祉法人弘優尽会特別養護老人ホームけやきホームズ,不在者投票指定施設,35.8470697,139.6353687
南区広ヶ谷戸130-1,社会福祉法人潤青会　介護老人福祉施設　こもれびの丘,不在者投票指定施設,35.513799,139.4112084
南区南浦和2丁目10番3号,株式会社ベストライフ　介護付有料老人ホーム　ベストライフ南浦和,不在者投票指定施設,35.8518453,139.6730006
緑区三室2460,さいたま市立病院,不在者投票指定施設,35.8909801,139.6789188
緑区原山3丁目15-31,医療法人博仁会　共済病院,不在者投票指定施設,35.8719695,139.676303
緑区馬場1丁目7-1,グリーンヒルうらわ老人保健施設きんもくせい,不在者投票指定施設,35.8907847,139.6807601
緑区原山3丁目15-31,社会福祉法人埼玉県共済会　尚和園,不在者投票指定施設,35.8722424,139.6754484
緑区中尾1404,年輪荘,不在者投票指定施設,35.8736995,139.686024
緑区原山3丁目15-31,社会福祉法人特別養護老人ホーム　尚和園,不在者投票指定施設,35.8724663,139.6757361
緑区寺山157,社会福祉法人遍照会特別養護老人ホーム　白寿園,不在者投票指定施設,35.904608,139.710661
緑区松木3丁目29-5,社会福祉法人リバティ特別養護老人ホームリバティハウス,不在者投票指定施設,35.8837675,139.6905199
緑区松木3丁目29-5,社会福祉法人リバティ特別養護老人ホームリバティハウス新館（ユニット型）,不在者投票指定施設,35.8837675,139.6905199
緑区馬場1丁目7-1,グリーンヒルうらわ　ケアハウスぎんもくせい,不在者投票指定施設,35.8907847,139.6807601
緑区大崎2160,社会福祉法人浦和福祉会特別養護老人ホームスマイルハウス,不在者投票指定施設,35.888599,139.7057533
緑区中尾925,社会福祉法人騏忠会特別養護老人ホーム浦和しぶや苑,不在者投票指定施設,35.8747813,139.6814062
緑区大崎3385-1,医療法人社団アンフルール　介護老人保健施設あさがお,不在者投票指定施設,35.8869443,139.716079
緑区大門1548-7,医療法人社団　明雄会 介護老人保健施設　エスポワールさいたま,不在者投票指定施設,35.8828178,139.7281604
緑区道祖土1丁目7-39,株式会社ユニマットそよ風　介護付有料老人ホーム　さいたまケアコミュニティそよ風,不在者投票指定施設,35.8762876,139.6689291
緑区三室3029-3,社会福祉法人あすなろ会　特別養護老人ホーム あすなろの郷浦和,不在者投票指定施設,35.5328025,139.4124263
緑区大字三室1712番地,社会福祉法人 敬愛会 特別養護老人ホーム 浦和みやびの郷,不在者投票指定施設,35.532111,139.4048075
岩槻区本町2丁目10-5,医療法人慈正会　丸山記念総合病院,不在者投票指定施設,35.9453662,139.6956072
岩槻区東岩槻2丁目2-20,医療法人慈弘会　岩槻中央病院,不在者投票指定施設,35.9644909,139.7097253
岩槻区馬込234,医療法人ひかり会クリニカル病院,不在者投票指定施設,35.9649139,139.6694563
岩槻区東岩槻2丁目2-20,社会福祉法人弘颯会特別養護老人ホームやまぶきの里,不在者投票指定施設,35.9645387,139.7096073
岩槻区古ヶ場11,社会福祉法人春秋会特別養護老人ホーム松鶴園,不在者投票指定施設,35.9803926,139.6965985
岩槻区真福寺1465,社会福祉法人城南会ケアハウスしらさぎ,不在者投票指定施設,35.9340026,139.7135156
岩槻区裏慈恩寺51-1,社会福祉法人春の木会　特別養護老人ホーム　ひなの杜,不在者投票指定施設,35.9788797,139.7014017
岩槻区諏訪3丁目2-2,社会福祉法人名栗園　ケアセンター岩槻名栗園,不在者投票指定施設,35.9675283,139.7076212
岩槻区長宮1512-1,社会福祉法人安心会　介護老人福祉施設さいたまほほえみの里,不在者投票指定施設,35.9546411,139.7316301
岩槻区裏慈恩寺1153-1,社会福祉法人健寿会　介護老人福祉施設さいたましあわせの里,不在者投票指定施設,35.9883502,139.7131158
岩槻区南下新井1538-7,社会福祉法人 城南会　特別養護老人ホーム　しらさぎ,不在者投票指定施設,35.9341541,139.7150826
岩槻区上野6丁目3-10,株式会社日本ヒューマンサポート　介護付有料老人ホームヒューマンサポート岩槻,不在者投票指定施設,35.9762429,139.6972524
岩槻区加倉190,社会福祉法人北友会　特別養護老人ホーム　フレシール岩槻,不在者投票指定施設,35.561782,139.415629
岩槻区表慈恩寺541-1,医療法人社団明雄会　介護老人保健施設エスポワール岩槻,不在者投票指定施設,35.967095,139.7119431
岩槻区大字横根1375番地,社会福祉法人隼人会　特別養護老人ホーム　岩槻まきば園,不在者投票指定施設,35.9215386,139.7067456
